Text,URL,Page,Classe,Page Q,Class Q,Where,ImageFile,Categoria
Gagarin Class USS Cunningham,https://www.instagram.com/p/Co5JeioJJyX/,USS Cunningham NCC-97949,Classe Gagarin,Q11755,Q11052,Outside,USSCunninghamNCC-97949.jpg,[[Categoria:Flottiglia assegnata allo Spacedock (2401)]]
 the Inquiry Class USS Varian Fry,https://www.instagram.com/p/Co5JeioJJyX/,USS Varian Fry NCC-87883,Classe Inquiry,Q11756,Q10583,Outside,USSVarianFryNCC-87883.jpg,[[Categoria:Flottiglia assegnata allo Spacedock (2401)]]
 Sovereign Class USS Musashi,https://www.instagram.com/p/Co5JeioJJyX/,USS Musashi NCC-74660,Classe Sovereign,Q5718,Q1913,Outside,USSMusashiNCC-74660.jpg,[[Categoria:Flottiglia assegnata allo Spacedock (2401)]]
 Reliant Class ships USS Azetbur,https://www.instagram.com/p/Co5JeioJJyX/,USS Azetbur NCC-90232,Classe Reliant,Q11758,Q11053,Outside,USSAzetburNCC-90232.jpg,[[Categoria:Flottiglia assegnata allo Spacedock (2401)]]
 USS Shras,https://www.instagram.com/p/Co5JeioJJyX/,USS Shras NCC-90211,Classe Reliant,Q11759,Q11053,Outside,USSShrasNCC-90211.jpg,[[Categoria:Flottiglia assegnata allo Spacedock (2401)]]
 USS Shallash,https://www.instagram.com/p/Co5JeioJJyX/,USS Shallash NCC-90235,Classe Reliant,Q11760,Q11053,Outside,USSShallashNCC-90235.jpg,[[Categoria:Flottiglia assegnata allo Spacedock (2401)]]
 and the Sutherland class USS Hypatia,https://www.instagram.com/p/Co5JeioJJyX/,USS Hypatia NCC-91825,Classe Sutherland,Q11761,Q11051,Outside,USSHypatiaNCC-91825.jpg,[[Categoria:Flottiglia assegnata allo Spacedock (2401)]]
Gagarin class USS Resnik,https://www.instagram.com/p/Co5KuKLpDSz/,USS Resnik NCC-97945,Classe Gagarin,Q11762,Q11052,Inside,USSResnikNCC-97945.jpg,[[Categoria:Flottiglia assegnata allo Spacedock (2401)]]
 the Reliant Class USS Thy’lek Shran,https://www.instagram.com/p/Co5KuKLpDSz/,USS Thy’lek Shran NCC-90225,Classe Reliant,Q11763,Q11053,Inside,USSThylek ShranNCC-90225.jpg,[[Categoria:Flottiglia assegnata allo Spacedock (2401)]]
 and the Sutherland Class USS Chandrasekhar,https://www.instagram.com/p/Co5KuKLpDSz/,USS Chandrasekhar NCC-91816,Classe Sutherland,Q11764,Q11051,Inside,USSChandrasekharNCC-91816.jpg,[[Categoria:Flottiglia assegnata allo Spacedock (2401)]]
